"from","to","transaction_id","date","amount"
"380979","673152","553892","2011-05-30","793844000"
"770788","559969","611072","2001-05-06","151490000"
"236715","197824","150972","2001-07-06","987079000"
"671348","780786","404075","2012-03-25","266437000"
"937362","972984","302636","1994-05-14","378499000"
"258143","345102","291525","2009-03-11","75601000"
"766879","922749","215973","2003-01-17","452273000"
"794510","843337","142360","1971-04-17","705631000"
"258143","708574","567279","1979-12-07","442997000"
"260224","309210","234524","1990-03-22","952212000"
"868911","928344","770197","1988-05-11","685960000"
"213334","634443","187323","1983-07-07","829179000"
"264496","260224","634189","1988-06-02","257568000"
"434742","438450","124449","2007-07-12","62941000"
"637572","341018","760595","1972-06-02","863269000"
"197824","103589","797938","2007-04-17","681133000"
"634443","948833","809493","2013-10-28","343127000"
"559969","673152","524969","2004-11-21","285857000"
"710205","574707","182354","2004-09-21","195138000"
"248353","265068","999009","2019-12-17","745033000"
"809575","499799","802107","1986-11-02","150962000"
"655576","260224","934604","2009-10-07","607301000"
"922749","929908","311231","1973-10-11","29743000"
"219784","655576","601811","1984-07-07","985500000"
"273370","922749","885192","2009-11-03","94260000"
"497456","766879","951061","2009-08-11","882272000"
"745810","915293","472151","1981-07-30","820922000"
"232676","655576","722547","1994-12-29","287245000"
"974183","673152","279560","1994-04-12","447384000"
"885104","764670","357495","1987-04-24","648128000"
"425941","516322","294990","1975-11-02","883438000"
"273370","930690","927982","2006-03-07","993906000"
"698141","526535","252690","1984-03-01","871668000"
"177565","467883","863436","2018-12-28","696881000"
"836973","994120","777096","1982-09-24","793807000"
"928344","392912","675178","1972-05-04","450209000"
"848430","466537","878349","1974-11-07","960705000"
"273370","618792","644383","1986-05-17","640750000"
"836044","627669","175696","2016-05-28","329217000"
"974183","682081","533306","1999-03-25","462483000"
"164126","650362","592548","1984-04-25","411405000"
"673152","505944","897422","1975-04-25","334428000"
"789606","841040","669215","2017-12-16","119102000"
"403822","192188","249251","2011-10-28","473177000"
"979105","164126","673637","1975-11-26","391325000"
"529770","346029","525910","2007-03-12","252618000"
"649888","544439","650875","1995-02-11","326640000"
"655576","341018","483049","1970-09-13","223649000"
"939810","724189","266333","2013-06-28","294230000"
"687162","228607","158219","1986-02-20","950926000"
"633419","424779","463017","2017-10-26","869169000"
"232676","647409","967009","1990-09-05","260689000"
"701592","841040","552460","1972-07-13","946201000"
"264496","386884","517831","2012-04-10","73437000"
"947207","814230","927231","2003-05-27","225666000"
"912885","680611","294469","2002-03-30","964515000"
"462971","150346","971023","1989-02-14","95104000"
"649888","994120","888347","1970-07-11","235212000"
"948833","111363","999722","1976-07-10","964124000"
"119339","814230","285668","1981-06-17","153456000"
"529770","627669","577772","2010-10-08","520506000"
"574707","627669","758319","1992-08-20","617685000"
"604647","633515","680165","1986-03-20","702092000"
"371936","841040","785614","2009-11-30","894360000"
"805091","412749","566618","1976-10-24","682930000"
"593837","787043","418292","1995-08-14","925210000"
"790299","242631","228981","1981-05-07","41103000"
"938600","633419","915713","1976-04-09","14430000"
"870405","604647","254881","1975-08-12","577642000"
"682081","936933","640460","2007-09-06","859160000"
"701592","770788","962380","1989-10-12","262559000"
"203206","455807","374228","1978-10-22","502236000"
"743688","789606","957646","1990-03-22","226876000"
"637572","937362","635663","2013-09-24","488691000"
"790299","795786","369732","1981-04-04","889798000"
"698073","983410","784617","1973-12-30","574152000"
"273370","574707","816530","1988-05-25","759793000"
"629103","939810","437746","1984-11-30","446560000"
"745810","780786","652241","1986-03-07","608432000"
"573573","403822","778628","2008-12-17","426400000"
"549656","629103","316747","1971-08-27","185591000"
"940449","260224","847878","1976-05-12","266608000"
"258143","688738","264165","1984-01-16","885884000"
"455807","843337","857540","1998-09-24","224192000"
"794510","265068","303950","1993-05-15","423510000"
"570484","708574","187103","1978-10-30","771949000"
"103589","686377","503341","1973-11-13","16690000"
"260224","587582","445336","1987-12-03","45530000"
"604015","364102","925571","2011-10-31","718759000"
"764670","671348","551317","1975-05-01","7810000"
"338850","604015","278218","1974-03-27","715705000"
"345102","627669","398467","2019-05-25","949211000"
"928344","273370","109462","1975-08-20","936066000"
"455807","527982","790394","1997-09-12","512263000"
"258143","486332","365458","2014-03-13","217180000"
"593837","680611","981024","2014-08-28","539979000"
"816258","936933","156446","1995-05-17","974978000"
"671348","466537","421941","2008-12-18","280260000"
"765897","380979","278204","1972-01-16","397557000"
"686377","724189","748192","1984-05-11","970977000"
"687162","192188","424730","2007-06-11","169051000"
"673493","425941","847542","1974-10-25","693161000"
"544439","627669","648142","2001-06-24","859667000"
"264496","922749","855547","2002-08-05","148368000"
"346029","680611","646850","1991-07-29","883477000"
"412749","843337","775166","1990-08-08","137668000"
